app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1/172,2/172,3/172,4/172,5/172,7/172,8/172,9/172,9/172,10/172,58,52.5
com.radioplayer.mobile,3/79,4/79,4/79,6/79,7/79,10/79,19/79,19/79,27/79,28/79,127,111.5
de.komoot.android,30/250,58/250,90/250,120/250,150/250,180/250,212/250,244/250,274/250,306/250,1664,1496.0
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,13/22,15/22,17/22,19/22,21/22,115,103.5
com.pallo.passiontimerscoped,4/40,8/40,12/40,16/40,20/40,24/40,28/40,32/40,36/40,40/40,220,198.0
org.iggymedia.periodtracker,6/221,12/221,19/221,23/221,27/221,35/221,39/221,49/221,52/221,56/221,318,287.0
com.google.android.wearable.app,3/107,3/107,6/107,10/107,16/107,19/107,24/107,29/107,33/107,34/107,177,158.5
au.com.auspost.android,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,1/41,1,0.5
com.calm.android,0/29,0/29,0/29,0/29,0/29,0/29,2/29,2/29,2/29,2/29,8,7.0
com.outdooractive.Outdooractive,5/45,8/45,13/45,15/45,19/45,21/45,23/45,25/45,30/45,36/45,195,174.5
